"Date","Channel Id","Channel Name","Territory","Minutes Streamed","Unique Streams","Consumption Type"
"2025-12-08","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","579842.06","14466","AdSupportedLinear"
"2025-12-08","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","546383.12","13211","AdSupportedLinear"
"2025-12-08","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Karamo presented by Nosey","US","397898.84","10181","AdSupportedLinear"
"2025-12-08","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","138541.94","4624","AdSupportedLinear"
"2025-12-09","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","837607.56","18431","AdSupportedLinear"
"2025-12-09","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","616034.94","14930","AdSupportedLinear"
"2025-12-09","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","513028.69","13296","AdSupportedLinear"
"2025-12-09","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Karamo presented by Nosey","US","399642.84","10909","AdSupportedLinear"
"2025-12-09","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","186561.17","5019","AdSupportedLinear"
"2025-12-10","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","991513.12","20193","AdSupportedLinear"
"2025-12-10","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","524996.44","14195","AdSupportedLinear"
"2025-12-10","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","537258.06","13278","AdSupportedLinear"
"2025-12-10","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Karamo presented by Nosey","US","426515.16","10896","AdSupportedLinear"
"2025-12-10","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","209328.56","4819","AdSupportedLinear"
