"Date","Channel Id","Channel Name","Territory","Minutes Streamed","Unique Streams","Consumption Type"
"2025-10-08","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","662987.25","16448","AdSupportedLinear"
"2025-10-08","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","667370.38","14258","AdSupportedLinear"
"2025-10-08","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","718830.00","15693","AdSupportedLinear"
"2025-10-08","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","148900.14","3235","AdSupportedLinear"
"2025-10-09","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","612800.88","13961","AdSupportedLinear"
"2025-10-09","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","642613.69","14598","AdSupportedLinear"
"2025-10-09","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","723275.94","14273","AdSupportedLinear"
"2025-10-09","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","766497.19","15988","AdSupportedLinear"
"2025-10-09","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","146340.39","3594","AdSupportedLinear"
"2025-10-10","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","679164.25","15620","AdSupportedLinear"
"2025-10-10","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","712027.56","13818","AdSupportedLinear"
"2025-10-10","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","462752.69","9738","AdSupportedLinear"
"2025-10-10","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","825349.56","17086","AdSupportedLinear"
"2025-10-10","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","140276.05","4015","AdSupportedLinear"
"2025-10-11","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","589735.12","15994","AdSupportedLinear"
"2025-10-11","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","696144.06","15151","AdSupportedLinear"
"2025-10-11","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","480230.53","11839","AdSupportedLinear"
"2025-10-11","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","769079.00","16084","AdSupportedLinear"
"2025-10-11","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","145097.27","5187","AdSupportedLinear"
"2025-10-12","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","384624.00","14579","AdSupportedLinear"
"2025-10-12","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","697701.00","16160","AdSupportedLinear"
"2025-10-12","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","467247.34","12176","AdSupportedLinear"
"2025-10-12","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","805205.94","16525","AdSupportedLinear"
"2025-10-12","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","102894.83","4799","AdSupportedLinear"
"2025-10-13","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","447340.69","12800","AdSupportedLinear"
"2025-10-13","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","767666.81","16700","AdSupportedLinear"
"2025-10-13","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","674903.75","13821","AdSupportedLinear"
"2025-10-13","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","821798.56","17075","AdSupportedLinear"
"2025-10-13","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","128029.46","4190","AdSupportedLinear"
"2025-10-14","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","527518.06","11893","AdSupportedLinear"
"2025-10-14","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","818790.12","17066","AdSupportedLinear"
"2025-10-14","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","732813.69","14111","AdSupportedLinear"
"2025-10-14","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","798640.38","16457","AdSupportedLinear"
"2025-10-14","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","151207.98","4243","AdSupportedLinear"
"2025-10-15","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","508152.97","11955","AdSupportedLinear"
"2025-10-15","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","812122.94","16811","AdSupportedLinear"
"2025-10-15","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","742571.81","13849","AdSupportedLinear"
"2025-10-15","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","766217.69","16118","AdSupportedLinear"
"2025-10-15","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","156618.72","4212","AdSupportedLinear"
"2025-10-16","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","606745.19","13440","AdSupportedLinear"
"2025-10-16","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","770177.81","15640","AdSupportedLinear"
"2025-10-16","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","752962.31","14451","AdSupportedLinear"
"2025-10-16","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","881281.44","16805","AdSupportedLinear"
"2025-10-16","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","143568.05","4490","AdSupportedLinear"
"2025-10-17","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","622855.44","14357","AdSupportedLinear"
"2025-10-17","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","765751.62","16260","AdSupportedLinear"
"2025-10-17","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","413636.47","9133","AdSupportedLinear"
"2025-10-17","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","932142.88","16742","AdSupportedLinear"
"2025-10-17","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","144895.14","4190","AdSupportedLinear"
"2025-10-18","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","575214.75","15547","AdSupportedLinear"
"2025-10-18","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","733666.31","16171","AdSupportedLinear"
"2025-10-18","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","502959.28","11123","AdSupportedLinear"
"2025-10-18","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","762926.62","16656","AdSupportedLinear"
"2025-10-18","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","159374.73","5276","AdSupportedLinear"
"2025-10-19","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","380386.47","14115","AdSupportedLinear"
"2025-10-19","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","674374.94","16693","AdSupportedLinear"
"2025-10-19","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","408682.69","11262","AdSupportedLinear"
"2025-10-19","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","747682.94","16655","AdSupportedLinear"
"2025-10-19","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","135716.31","5154","AdSupportedLinear"
"2025-10-20","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","406166.81","12307","AdSupportedLinear"
"2025-10-20","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","794505.06","17092","AdSupportedLinear"
"2025-10-20","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","651682.00","13460","AdSupportedLinear"
"2025-10-20","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","715764.25","17684","AdSupportedLinear"
"2025-10-20","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","143428.33","4135","AdSupportedLinear"
"2025-10-21","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","701412.56","13758","AdSupportedLinear"
"2025-10-21","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","755374.88","16106","AdSupportedLinear"
"2025-10-21","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","641016.75","13013","AdSupportedLinear"
"2025-10-21","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","585849.56","12398","AdSupportedLinear"
"2025-10-21","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","190038.75","4401","AdSupportedLinear"
"2025-10-22","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","849558.38","16110","AdSupportedLinear"
"2025-10-22","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","718799.44","14929","AdSupportedLinear"
"2025-10-22","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","666804.31","13436","AdSupportedLinear"
"2025-10-22","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","514968.28","11181","AdSupportedLinear"
