,,,,,,,,,
,PLUTO TV - CONTENT PARTNER REVENUE REPORTING,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Content Partner,Series Name,Episode Name,Clip Name,Season #,Episode #,TVMs,Sessions,Net Revenue per Clip
,nosey,People's Court,"You Stole My $2,400 And Spent It At A Strip Club!","People's Court: You Stole My $2,400 And Spent It At A Strip Club! (S19E46)",19,46,"247,134","12,562", $ 450.40 
,nosey,People's Court,Breakup Demolition Derby,People's Court: Breakup Demolition Derby (S19E48),19,48,"232,564","11,214", $ 440.86 
,nosey,People's Court,Tenant Turmoil,People's Court: Tenant Turmoil (S19E51),19,51,"239,174","11,111", $ 436.20 
,nosey,People's Court,Sister Steals Family Inheritance,People's Court: Sister Steals Family Inheritance (S19E16),19,16,"254,021","11,297", $ 429.71 
,nosey,People's Court,You Sold Me A Fake Fish,People's Court: You Sold Me A Fake Fish (S19E47),19,47,"242,555","11,711", $ 423.73 
,nosey,People's Court,You Are The Worst Landlord Ever!,People's Court: You Are The Worst Landlord Ever! (S19E50),19,50,"229,781","10,977", $ 412.41 
,nosey,The Jerry Springer Show,Pricey Pleasures,The Jerry Springer Show: Pricey Pleasures (S1E13),1,13,"199,745","6,218", $ 403.75 
,nosey,The Steve Wilkos Show,I Don't Believe The Results!,The Steve Wilkos Show: I Don't Believe The Results! (S2E126),2,126,"270,616","9,401", $ 399.02 
,nosey,People's Court,Double-Crossing An Expert Witness,People's Court: Double-Crossing An Expert Witness (S19E49),19,49,"216,769","10,760", $ 390.30 
,nosey,People's Court,Money Tears Apart A Relationship,People's Court: Money Tears Apart A Relationship (S19E14),19,14,"238,229","10,525", $ 389.51 
,nosey,People's Court,Drunk Driving Disaster,People's Court: Drunk Driving Disaster (S19E1),19,1,"215,567","10,930", $ 380.15 
,nosey,People's Court,"You Had A Wife, A Fiance, And A Mistress?","People's Court: You Had A Wife, A Fiance, And A Mistress? (S19E15)",19,15,"221,680","9,994", $ 372.23 
,nosey,People's Court,Judge And Defendant Go Head To Head,People's Court: Judge And Defendant Go Head To Head (S19E13),19,13,"211,234","9,624", $ 370.02 
,nosey,The Jerry Springer Show,Misbehaving Lovers,The Jerry Springer Show: Misbehaving Lovers (S12E147),12,147,"178,323","7,156", $ 369.84 
,nosey,The Jerry Springer Show,Return Of The Lost Lovers!,The Jerry Springer Show: Return Of The Lost Lovers! (S12E146),12,146,"177,812","7,458", $ 367.95 
,nosey,The Steve Wilkos Show,"Steve I'm 14, I Need Your Help","The Steve Wilkos Show: Steve I'm 14, I Need Your Help (S3E85)",3,85,"196,540","5,790", $ 345.15 
,nosey,People's Court,Hospital Hook Up,People's Court: Hospital Hook Up (S19E2),19,2,"189,201","9,269", $ 337.63 
,nosey,The Jerry Springer Show,Backstabbing Bedmates,The Jerry Springer Show: Backstabbing Bedmates (S12E157),12,157,"180,929","7,161", $ 335.46 
,nosey,The Jerry Springer Show,My Son Is A Woman,The Jerry Springer Show: My Son Is A Woman (S12E156),12,156,"164,856","6,905", $ 332.96 
,nosey,The Jerry Springer Show,Strange Secret Affairs!,The Jerry Springer Show: Strange Secret Affairs! (S11E67),11,67,"166,146","6,893", $ 332.72 
,nosey,Maury,1 Cheating Wife...3 Babies... Are These Kids Mine?,Maury: 1 Cheating Wife...3 Babies... Are These Kids Mine? (S11E9),11,9,"154,178","6,626", $ 331.25 
