,,,,,,,,
,PLUTO TV - CONTENT PARTNER REVENUE REPORTING,,,,,,,
,,,,,,,,
,,,,,,,,
,Content Partner,Series Name,Episode Name,Clip Name,Season #,Episode #,Channel Name, Net Revenue per Clip 
,nosey,Judge Karen's Court LAS,El amor duele,El amor duele,10,27,VOD, $ -   
,nosey,Judge Karen's Court LAS,El desastre en la fiesta de princesas,El desastre en la fiesta de princesas,10,5,VOD, $ 0.01 
,nosey,Judge Karen's Court LAS,El ladrón de bodas,El ladrón de bodas,10,8,VOD, $ 0.01 
,nosey,Judge Karen's Court LAS,El mantenido,El mantenido,10,7,VOD, $ 0.02 
,nosey,Judge Karen's Court LAS,Enfrentos peludos,Enfrentos peludos,10,23,VOD, $ -   
,nosey,Judge Karen's Court LAS,Error de conexión,Error de conexión,10,26,VOD, $ -   
,nosey,Judge Karen's Court LAS,Familia desmoronada,Familia desmoronada,10,49,VOD, $ 0.01 
,nosey,Judge Karen's Court LAS,Historia de dos hermanas,Historia de dos hermanas,10,45,VOD, $ 0.01 
,nosey,Judge Karen's Court LAS,La batalla de las primas,La batalla de las primas,10,10,VOD, $ 0.01 
,nosey,Judge Karen's Court LAS,La batalla de las primas,La batalla de las primas,10,20,VOD, $ -   
,nosey,Judge Karen's Court LAS,La fiesta se acabó,La fiesta se acabó,10,21,VOD, $ -   
,nosey,Judge Karen's Court LAS,La indecisión te puede costar caro,La indecisión te puede costar caro,10,16,VOD, $ -   
,nosey,Judge Karen's Court LAS,La reunión de los chicos con onda,La reunión de los chicos con onda,10,19,VOD, $ -   
,nosey,Judge Karen's Court LAS,Las fianzas te arruinan la amistad,Las fianzas te arruinan la amistad,10,32,VOD, $ -   
,nosey,Judge Karen's Court LAS,Las redes antisociales,Las redes antisociales,10,4,VOD, $ 0.02 
,nosey,Judge Karen's Court LAS,Le apuesto a la quiebra,Le apuesto a la quiebra,10,9,VOD, $ 0.01 
,nosey,Judge Karen's Court LAS,Lío de redes,Lío de redes,10,22,VOD, $ 0.01 
,nosey,Judge Karen's Court LAS,Los compradores son mentirosos,Los compradores son mentirosos,10,48,VOD, $ 0.01 
,nosey,Judge Karen's Court LAS,Los detalles son importantes,Los detalles son importantes,10,6,VOD, $ 0.03 
,nosey,Judge Karen's Court LAS,Mezclas robadas,Mezclas robadas,10,39,VOD, $ -   
,nosey,Judge Karen's Court LAS,"Mi casas, mi sofá","Mi casas, mi sofá",10,36,VOD, $ -   
,nosey,Judge Karen's Court LAS,Molestar al demandante,Molestar al demandante,10,35,VOD, $ 0.01 
,nosey,Judge Karen's Court LAS,Muy borracho para firmar,Muy borracho para firmar,10,17,VOD, $ -   
,nosey,Judge Karen's Court LAS,No eres inteligente como Einstein,No eres inteligente como Einstein,10,14,VOD, $ -   
,nosey,Judge Karen's Court LAS,Pelea de hermanas,Pelea de hermanas,10,2,VOD, $ 0.01 
,nosey,Judge Mom,Bougie Brother,Bougie Brother,1,7,VOD, $ -   
,nosey,Judge Mom,Don't Look A Gift Horse in the Mom,Don't Look A Gift Horse in the Mom,1,10,VOD, $ -   
,nosey,Judge Mom,Handbag Babysitter,Handbag Babysitter,1,8,VOD, $ -   
,nosey,Judge Mom,Trust Fund Baby,Trust Fund Baby,1,9,VOD, $ -   
,nosey,Judge Mom (dubbed) (LAS),De AZ a LA,De AZ a LA,1,2,VOD, $ 0.01 
,nosey,Judge Mom (dubbed) (LAS),Dinastía de Hermanas,Dinastía de Hermanas,1,6,VOD, $ -   
,nosey,Judge Mom (dubbed) (LAS),Madrastra Tenebrosa,Madrastra Tenebrosa,1,1,VOD, $ 0.02 
,nosey,Judge Mom (dubbed) (LAS),Nada es Gratis,Nada es Gratis,1,4,VOD, $ 0.01 
,nosey,Judge Mom (dubbed) (LAS),No Quiero,No Quiero,1,3,VOD, $ 0.01 
,nosey,Judge Mom (dubbed) (LAS),Plan de Ahorros,Plan de Ahorros,1,5,VOD, $ 0.01 
,nosey,The Jerry Springer Show,Wives Battle Mistresses,The Jerry Springer Show: Wives Battle Mistresses (S1E9),1,9,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),¡Adivina por quién te dejo!,¡Adivina por quién te dejo!,1,87,VOD, $ 0.01 
