"Date","Channel Id","Channel Name","Territory","Minutes Streamed","Unique Streams","Consumption Type"
"2026-01-08","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","342412.97","9317","AdSupportedLinear"
"2026-01-08","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","341542.12","8949","AdSupportedLinear"
"2026-01-08","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","905785.56","15790","AdSupportedLinear"
"2026-01-08","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","226010.69","5716","AdSupportedLinear"
"2026-01-09","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","896563.88","21729","AdSupportedLinear"
"2026-01-09","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","360024.38","9573","AdSupportedLinear"
"2026-01-09","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","341208.00","8411","AdSupportedLinear"
"2026-01-09","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","933649.06","16257","AdSupportedLinear"
"2026-01-09","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","173587.06","5695","AdSupportedLinear"
"2026-01-10","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","833147.81","22298","AdSupportedLinear"
"2026-01-10","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","493800.53","12546","AdSupportedLinear"
"2026-01-10","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","624694.94","13012","AdSupportedLinear"
"2026-01-10","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","949084.00","17026","AdSupportedLinear"
"2026-01-10","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","178730.47","6681","AdSupportedLinear"
"2026-01-11","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","764921.69","22159","AdSupportedLinear"
"2026-01-11","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","507069.97","13715","AdSupportedLinear"
"2026-01-11","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","533741.88","12439","AdSupportedLinear"
"2026-01-11","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","865108.75","16657","AdSupportedLinear"
"2026-01-11","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","203225.98","7126","AdSupportedLinear"
"2026-01-12","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","719574.06","19833","AdSupportedLinear"
"2026-01-12","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","698974.44","14909","AdSupportedLinear"
"2026-01-12","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","668340.88","13066","AdSupportedLinear"
"2026-01-12","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","1012842.12","17653","AdSupportedLinear"
"2026-01-12","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","183629.02","5774","AdSupportedLinear"
"2026-01-13","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1191792.00","20703","AdSupportedLinear"
"2026-01-13","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","710839.44","14789","AdSupportedLinear"
"2026-01-13","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","713940.69","14428","AdSupportedLinear"
"2026-01-13","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","571200.25","14940","AdSupportedLinear"
"2026-01-13","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","231837.53","5794","AdSupportedLinear"
"2026-01-14","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1130825.50","21581","AdSupportedLinear"
"2026-01-14","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","739860.31","15064","AdSupportedLinear"
"2026-01-14","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","732935.56","14840","AdSupportedLinear"
"2026-01-14","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","512885.97","13930","AdSupportedLinear"
"2026-01-14","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","243636.39","5838","AdSupportedLinear"
"2026-01-15","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1193532.75","22381","AdSupportedLinear"
"2026-01-15","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","763422.38","14872","AdSupportedLinear"
"2026-01-15","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","367346.12","10095","AdSupportedLinear"
"2026-01-15","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","561179.12","15418","AdSupportedLinear"
"2026-01-15","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","235937.73","6202","AdSupportedLinear"
"2026-01-16","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","836664.25","20495","AdSupportedLinear"
"2026-01-16","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","864034.44","15786","AdSupportedLinear"
